#EventTime	EventOrigin_x	EventOrigin_y	EventDestination_x	EventDestination_y
831.334785	20	54	23	63
833.172272	23	63	31	97
835.136786	31	97	32	88
836.817538	68	12	67	5
837.61869	32	88	33	95
840.034574	33	95	32	88
864.580428	72	4	89	65
868.743228	89	65	87	65
869.207063	87	65	76	65
871.508779	76	65	100	100
872.877506	9	57	12	40
873.327492	88	60	83	67
874.345314	83	67	100	100
875.234596	11	46	41	13
876.588559	41	13	37	25
877.617215	37	25	44	11
879.947369	44	11	47	45
880.624377	53	55	67	46
882.965129	33	54	61	21
885.816023	39	79	48	57
885.8595	61	21	52	43
886.659943	48	57	57	60
887.049608	52	43	43	40
888.407529	43	40	76	8
892.350866	76	8	0	0
902.575637	28	88	19	61
907.768956	19	61	42	16
911.123578	42	16	85	48
913.594924	85	48	71	21
914.299765	15	52	29	79
918.981968	29	79	54	51
921.821903	54	51	44	42
922.551021	56	58	67	66
925.081182	67	66	66	77
926.623721	33	34	34	23
928.052026	66	77	67	66
937.663159	28	24	28	49
940.147302	28	49	27	80
942.512279	27	80	67	95
944.871191	33	5	30	7
946.326274	67	95	70	93
947.225659	30	7	30	16
948.068611	70	93	70	84
948.626794	30	16	37	33
952.727927	37	33	47	54
955.048212	47	54	71	0
972.749073	18	100	42	90
974.161228	58	10	73	15
976.667566	73	15	64	27
977.642684	36	73	27	85
977.711437	27	85	29	80
978.084482	71	20	56	26
978.887699	56	26	63	60
983.654621	63	60	60	36
987.186874	60	36	71	67
989.23669	71	67	57	71
991.232253	57	71	55	52
995.008376	55	52	58	32
997.713151	58	32	65	40
999.236592	65	40	64	56
1002.00926	64	56	75	30
1003.705746	75	30	72	59
1007.93265	72	59	77	71
1010.176471	23	29	16	32
1010.395054	77	71	84	68
1011.1845	16	32	23	67
1013.016934	77	33	78	18
1014.30685	23	67	22	82
1017.845967	78	18	74	8
1018.977244	74	8	64	40
1024.129555	64	40	69	58
1025.488721	69	58	64	53
1026.600096	64	53	74	83
1032.126828	74	83	66	67
1034.898589	66	67	63	69
1035.552349	34	33	37	31
1037.890469	37	31	34	33
1048.457823	80	79	80	84
1053.572422	80	84	80	84
1055.344787	80	84	100	32
1077.94318	0	0	15	18
1080.525643	15	18	13	45
1083.673768	13	45	39	97
1086.548868	39	97	31	77
1088.3517	31	77	33	47
1092.134846	33	47	29	12
1093.799437	29	12	71	8
1098.1089	71	8	72	7
1098.899904	72	7	72	0
1099.280935	28	93	28	100
1111.80097	72	0	58	8
1114.347374	58	8	41	73
1116.539946	41	73	66	92
1121.54287	66	92	76	67
1122.780002	24	33	38	38
1124.056621	62	62	62	72
1128.904817	62	72	70	78
1129.81297	70	78	74	60
1130.595995	74	60	75	28
1132.277791	25	72	44	13
1136.463856	44	13	29	8
1137.392687	56	87	71	92
1138.947548	29	8	21	0
1144.195376	68	100	65	96
1145.628269	65	96	70	98
1148.496105	70	98	68	83
1150.556157	68	83	66	38
1154.053777	66	38	79	4
1156.67177	79	4	74	6
1157.379681	26	94	25	82
1158.765817	25	82	21	83
1159.521077	79	17	77	0
1176.087791	26	100	61	94
1178.765363	61	94	60	96
1179.742099	39	6	40	4
1179.794809	60	96	43	93
1181.013195	57	7	70	8
1181.453266	43	93	30	92
1184.199743	70	8	65	61
1186.56559	65	61	79	72
1187.158689	35	39	21	28
1190.187435	79	72	0	0
1192.868873	100	100	21	28
1212.753315	33	14	18	55
1228.919596	18	55	76	88
1231.443603	76	88	77	76
1231.617294	24	12	23	24
1232.809954	77	76	72	81
1234.888756	28	19	19	5
1237.056443	19	5	21	39
1240.195071	21	39	27	76
1243.277878	27	76	40	96
1246.983038	40	96	74	98
1250.066342	74	98	0	0
1281.582667	27	13	78	47
1283.91341	78	47	71	48
1284.799842	22	53	29	52
1285.762328	29	52	12	43
1299.229819	12	43	44	81
1304.927402	44	81	49	75
1306.588143	49	75	34	80
1308.752362	34	80	28	51
1311.029947	28	51	38	24
1314.932615	38	24	42	67
1317.250553	42	67	54	92
1318.781728	54	92	61	79
1319.694969	61	79	69	94
1321.838161	31	6	27	8
1322.263813	69	94	73	92
1323.485411	27	8	30	2
1323.783423	70	98	72	100
1333.808644	71	100	60	92
1336.828397	60	92	53	78
1338.621719	53	78	61	18
1342.78861	61	18	55	51
1347.364783	55	51	51	68
1351.186662	51	68	62	99
1355.635433	62	99	58	93
1357.802034	58	93	45	60
1360.51092	45	60	53	29
1364.552237	53	29	65	22
1365.514369	65	22	59	37
1366.275643	59	37	60	33
1367.816744	60	33	57	23
1368.148627	57	23	68	7
1371.360714	68	7	51	20
1373.937659	51	20	47	56
1377.038876	47	56	60	87
1380.185092	60	87	68	97
1382.378471	68	97	89	96
1384.757142	89	96	98	3
1389.654425	98	3	95	7
1390.196019	5	93	6	100
1394.908381	96	0	94	24
1397.8674	6	76	3	78
1398.221988	94	24	97	22
1399.362914	97	22	0	0
1401.318463	4	75	0	76
1427.438843	100	0	83	59
1430.877737	83	59	0	0
1467.212071	100	100	53	96
1472.292334	53	96	56	73
1474.610663	44	27	57	20
1475.014177	43	80	53	71
1475.265275	57	20	47	29
1476.606102	47	29	65	52
1477.684556	35	48	50	87
1480.756475	50	13	50	7
1482.471513	50	7	39	15
1483.231097	39	15	71	8
1485.473184	29	92	43	100
1495.306349	42	0	57	10
1497.018515	57	10	53	5
1497.833926	53	5	77	0
1511.145502	30	100	57	90
1513.320859	43	10	36	8
1513.538262	57	90	64	92
1514.338215	64	92	73	91
1516.215998	27	9	24	0
1516.358587	73	91	76	100
1534.648148	24	0	11	18
1539.323848	11	18	3	33
1542.460396	3	33	39	98
1546.448624	39	98	44	64
1548.211076	56	36	54	15
1548.609441	46	85	44	64
1549.97065	56	36	54	15
1563.565089	53	75	41	75
1565.577677	41	75	35	79
1566.797006	35	79	31	47
1569.287655	31	47	43	12
1573.214242	43	12	61	17
1574.779483	61	17	58	39
1577.213654	58	39	47	71
1587.209976	47	71	40	81
1589.202639	40	81	48	31
1591.554177	48	31	48	26
1598.02757	48	26	66	7
1600.521576	66	7	75	0
1623.780434	30	100	44	63
1627.830828	44	63	66	53
1629.666349	34	47	47	45
1631.224294	53	55	53	58
1631.650483	47	45	47	42
1633.128835	47	42	56	34
1633.758439	56	34	71	25
1637.294235	71	25	80	5
1640.147845	80	5	74	25
1641.940125	74	25	71	26
1642.56418	26	75	29	74
1642.989576	29	74	30	70
1643.366852	71	26	70	30
1644.490838	70	30	62	25
1644.822725	30	70	38	75
1645.877296	62	25	67	24
1646.602966	38	75	33	76
1647.246805	67	24	68	22
1648.115592	33	76	32	78
1648.667378	32	78	40	90
1649.706092	68	22	60	10
1650.411323	40	90	91	73
1657.171668	9	27	38	81
1665.270361	38	81	33	54
1669.642262	33	54	39	80
1671.45486	39	80	51	93
1673.213406	51	93	42	85
1677.421522	42	85	35	57
1679.747834	35	57	46	19
1683.925207	46	19	49	5
1685.592344	49	5	55	18
1687.033235	55	18	57	13
1688.522032	57	13	50	6
1691.412407	50	6	62	28
1693.228444	38	72	62	67
1694.376246	62	67	75	31
1698.90762	75	31	77	24
1700.416779	25	69	23	76
1704.03903	23	76	47	96
1710.063412	47	96	55	86
1711.033111	45	14	44	16
1711.538284	55	86	56	84
1713.275102	44	16	45	14
1746.903336	56	75	54	40
1750.189462	54	40	59	13
1754.896087	59	13	59	52
1757.479116	59	52	63	87
1759.910812	63	87	99	74
1781.344236	100	100	79	14
1791.104249	79	14	68	18
1794.176617	68	18	51	49
1797.149069	51	49	54	57
1799.09619	54	57	90	15
1804.670882	90	15	73	8
1808.428454	73	8	82	23
1809.84428	82	23	91	24
1810.211285	18	77	9	76
1812.953534	9	76	8	51
1822.710938	8	51	37	97
1826.660725	37	97	23	88
1829.697402	23	88	30	56
1832.538832	30	56	32	15
1836.667946	32	15	31	30
1838.558993	31	30	24	66
1841.354526	24	66	29	87
1842.506883	29	87	49	89
1846.845569	49	89	60	96
1848.000515	60	96	59	88
1851.737334	59	88	59	96
1855.768635	59	96	65	97
1857.827687	65	97	35	98
1860.404204	35	98	42	75
1863.162182	42	75	36	49
1867.026749	36	49	43	7
1871.077439	43	7	62	15
1877.423511	62	15	46	15
1880.031284	46	15	52	50
1882.430327	52	50	84	37
1884.766971	16	63	42	44
1888.719293	58	56	58	90
1893.355778	58	90	59	71
1897.04089	59	71	59	97
1899.283506	59	97	61	83
1899.710306	39	17	36	17
1900.767093	36	17	39	9
1901.80723	61	91	61	72
1904.280604	39	28	39	38
1904.732611	61	72	61	62
1905.797981	39	38	39	28
1950.130411	64	79	99	44
1985.539709	100	100	64	76
1988.976497	64	76	91	93
1989.182176	36	24	9	7
1999.175661	91	93	84	92
2001.423484	84	92	90	67
2002.806191	10	33	0	31
2025.475425	100	100	96	61
2027.802481	96	61	76	84
2028.374091	4	39	24	16
2031.633805	24	16	22	19
2033.788496	78	81	53	54
2037.291987	53	54	58	34
2039.791477	58	34	83	70
2043.513218	17	30	20	31
2045.297924	80	69	83	73
2045.715359	20	31	17	27
2046.092182	83	73	100	100
2072.200206	0	0	69	90
2074.735577	31	10	38	21
2075.504934	69	90	62	79
2076.880008	62	79	70	84
2076.983688	38	21	30	16
2078.86416	30	16	14	25
2080.274576	14	25	54	28
2083.264347	54	28	62	29
2084.20591	46	72	38	71
2084.601317	62	29	62	12
2086.786033	62	12	81	22
2089.63986	81	22	88	24
2090.380994	19	78	12	76
2091.065818	88	24	100	100
2114.866437	0	0	39	96
2118.764274	39	96	43	88
2119.149915	43	88	38	91
2120.051016	38	91	27	57
2121.197577	27	57	27	90
2123.417423	27	90	31	13
2127.426715	31	13	74	0
2146.366365	29	100	61	95
2150.353621	39	5	40	20
2152.262724	60	80	58	82
2152.427665	40	20	42	18
2153.821788	58	82	59	82
2154.2169	42	18	41	18
2154.570418	41	18	42	18
2155.637624	59	82	58	82
2156.892131	42	18	44	23
2157.845731	44	23	70	22
2160.647917	30	78	31	30
2164.441078	31	30	34	14
2169.746612	34	14	42	9
2171.979814	42	9	43	6
2176.522715	43	6	64	9
2176.824186	36	91	34	95
2179.707154	34	95	26	99
2183.016682	26	99	27	90
2184.710294	27	90	19	73
2187.707719	19	73	20	24
2190.098122	20	24	33	53
2191.703752	33	53	59	28
2198.159963	59	28	55	12
2200.72949	55	12	66	37
2203.708633	34	63	42	37
2206.009736	42	37	47	53
2206.074656	58	63	53	47
2207.635025	47	53	47	64
2210.236728	47	64	99	16
2215.149042	99	16	96	28
2218.92057	4	72	21	69
2220.396416	21	69	44	65
2223.951002	44	65	36	54
2226.609406	36	54	44	52
2229.775859	44	52	80	85
2232.640552	20	15	25	0
2252.047956	66	100	75	85
2253.358813	75	85	75	78
2254.364016	25	22	26	16
2255.054736	74	84	80	71
2255.393662	25	15	20	29
2255.856824	20	29	53	44
2259.099422	47	56	59	27
2263.265102	59	27	45	54
2265.891061	45	54	59	87
2268.48019	59	87	58	97
2270.659114	58	97	70	97
2271.209893	70	97	64	86
2273.203025	64	86	74	84
2275.340976	74	84	79	78
2276.34669	79	78	84	77
2276.878712	84	77	87	73
2277.208165	13	27	17	34
2278.115239	87	73	83	66
2278.254015	83	66	65	65
2278.723119	17	34	35	35
2281.555748	35	35	48	56
2285.971589	48	56	59	88
2288.089607	59	88	80	82
2288.989789	80	82	73	63
2292.220203	27	37	54	48
2297.067245	54	48	57	56
2298.940801	46	52	43	44
2299.754362	57	56	58	50
2300.892312	58	50	69	42
2301.739324	69	42	75	19
2306.864603	75	19	78	37
2308.140323	22	63	25	70
2309.186807	25	70	40	83
2313.458965	40	83	76	85
2321.862986	76	85	89	89
2324.86831	89	89	88	59
2326.327407	12	41	21	0
2347.273215	81	100	80	100
2371.205006	22	0	26	5
2373.696063	26	5	18	7
2375.289301	18	7	55	16
2378.011491	55	16	48	29
2381.21504	48	29	50	79
2383.383386	50	79	97	86
2386.771795	3	14	0	0
2386.821568	97	86	100	100
2420.414506	100	100	94	99
2422.33001	94	99	92	35
2423.101174	8	65	8	56
2424.226655	92	35	92	44
2425.372113	8	56	8	51
2426.040904	92	44	92	49
2428.446805	92	49	92	44
2441.109349	13	59	20	71
2444.350446	20	71	40	7
2457.132799	40	7	41	19
2457.469327	41	19	35	5
2460.899581	35	5	36	4
2460.936613	65	95	64	96
2462.864613	64	96	71	94
2463.070643	29	6	30	28
2463.42143	71	94	70	72
2465.159969	30	28	31	6
2465.505634	69	94	52	83
2468.321042	48	17	46	41
2470.570005	54	59	87	57
2477.697656	13	43	42	12
2485.539002	42	12	64	17
2488.158385	64	17	66	15
2488.214369	36	83	34	85
2489.024363	66	15	57	20
2489.926882	43	80	43	77
2490.928815	57	20	57	23
2492.383472	43	77	43	80
2545.518237	64	15	89	57
2548.61874	11	43	12	41
2550.124684	12	41	22	25
2550.75802	78	75	91	34
2552.30953	9	66	16	100
2573.609834	84	0	92	18
2576.572698	92	18	100	0
2577.226707	8	82	0	100
2604.295396	100	0	93	44
2607.220023	7	56	22	60
2608.514427	78	40	77	66
2610.753257	77	66	88	45
2612.054635	88	45	100	100
2631.522261	12	51	31	53
2636.524196	31	53	28	78
2642.004348	28	78	30	50
2644.939386	30	50	40	13
2646.727592	40	13	58	4
2647.750874	58	4	62	10
2648.541945	38	90	52	78
2650.416116	52	78	53	65
2651.635486	48	22	47	35
2652.505927	53	65	61	50
2654.492203	61	50	70	53
2658.929429	70	53	77	80
2661.949012	77	80	88	84
2663.775998	12	16	18	5
2667.35041	82	95	100	100
2669.265161	16	12	21	0
2686.91787	84	100	86	89
2688.681915	86	89	74	87
2688.705162	14	11	26	13
2692.105002	26	13	35	26
2692.164248	74	87	65	74
2694.677345	35	26	33	43
2696.280214	33	43	31	81
2697.875867	31	81	47	82
2702.421652	47	82	50	73
2703.197895	50	73	59	65
2705.450085	59	65	69	68
2706.442088	69	68	66	76
2706.987378	66	76	81	76
2708.972208	19	24	21	20
2710.221447	79	80	89	96
2712.240837	89	96	94	49
2714.265932	94	49	0	0
2716.210598	100	100	6	51
2787.208955	56	37	57	38
2789.190006	44	63	43	62
2789.997921	43	62	38	30
2792.948355	38	30	43	36
2794.58112	43	36	41	83
2799.115514	41	83	43	76
2805.262144	43	76	89	17
2810.221212	89	17	100	100
1.615425	50	51	27	30
4.001623	27	30	41	76
9.058284	41	76	11	86
9.161741	59	24	89	14
15.24109	89	14	89	7
19.241507	89	7	90	16
20.351319	10	84	10	87
20.533126	90	16	90	13
21.433736	90	13	84	17
21.911088	16	83	14	70
22.144547	84	17	86	30
23.133141	86	30	100	100
49.242968	0	0	18	74
52.268391	18	74	9	49
58.91085	9	49	67	87
60				
61.468129	33	13	45	6
62.372161	67	87	55	94
66.975385	55	94	65	90
68.594718	65	90	48	72
70.876394	48	72	34	68
73.753211	34	68	35	43
76.401219	35	43	47	3
80.501137	47	3	65	27
83.276587	65	27	65	27
85.001227	65	27	65	23
85.203244	35	73	35	77
86.507002	65	23	57	22
87.391663	57	22	47	27
88.006317	47	27	44	2
89.303862	44	2	50	4
91.784202	50	4	40	4
91.929605	50	96	60	96
93.510886	60	96	66	98
94.407855	40	4	34	2
97.857215	34	2	40	4
117.930642	61	91	87	73
120.599516	13	27	23	12
122.751734	77	88	74	77
124.625131	74	77	88	61
126.541329	88	61	100	64
152.632124	0	0	54	33
154.362109	46	67	56	37
156.934782	56	37	55	19
157.082288	44	63	45	81
158.834162	55	19	61	10
162.151832	61	10	77	16
162.301683	23	84	40	100
176.000765	31	100	57	97
177.101773	57	97	40	95
179.470501	40	95	37	80
182.303842	37	80	24	62
185.432927	24	62	22	24
187.652341	22	24	8	35
192.431224	8	35	30	5
193.796536	30	5	65	9
196.658049	35	91	74	93
201.061034	74	93	54	80
202.011366	26	7	46	20
207.29064	54	80	56	37
209.872102	56	37	80	9
212.584057	80	9	100	62
267.015263	0	0	81	91
269.977885	19	9	8	41
271.989763	8	41	38	17
275.363043	38	17	26	23
276.072073	62	83	74	77
276.732888	26	23	44	12
278.162186	56	88	59	88
278.288431	44	12	41	12
280.668857	41	12	44	12
300.119146	53	91	40	77
302.835564	40	77	47	41
305.536274	47	41	49	68
308.670203	49	68	58	97
311.556373	58	97	77	96
312.033909	23	4	20	0
328.689874	88	100	93	86
329.808345	7	14	2	15
330.469631	98	85	93	95
331.102418	93	95	93	95
331.523068	7	5	11	0
333.569118	93	94	89	100
340.687068	8	0	33	4
342.777155	33	4	58	19
345.134328	42	81	89	60
347.703681	89	60	0	0
348.190322	100	100	11	40
348.708589	11	40	10	39
349.664717	90	61	100	100
349.831623	10	39	0	0
383.752157	100	100	91	36
386.558173	9	64	33	36
389.130656	67	64	45	22
393.38864	45	22	92	93
399.093374	8	7	9	8
399.15847	92	93	91	92
404.367526	9	8	23	5
406.509285	23	5	23	3
407.230482	77	95	77	97
409.624966	77	97	77	95
426.068854	26	8	78	27
429.094173	22	73	24	95
432.095011	24	95	28	88
432.788475	28	88	35	94
433.152098	65	6	71	2
433.679924	71	2	67	13
436.632779	33	87	52	95
437.249121	67	13	48	5
440.655901	48	5	24	58
447.990079	24	58	67	91
450.780737	67	91	82	88
451.702303	33	9	18	12
452.846524	18	12	41	12
453.606275	41	12	35	13
454.985297	65	87	73	87
456.453433	73	87	92	90
460.894501	92	90	91	94
461.399997	8	10	9	6
462.222214	91	94	95	84
463.489164	95	84	97	60
465.166968	3	40	10	0
472.54485	89	100	89	88
473.261725	89	88	92	72
474.343355	11	12	8	28
478.974084	8	28	26	32
481.97129	26	32	28	51
483.630588	28	51	19	67
485.836483	19	67	29	95
487.976009	71	5	72	5
489.157097	29	95	28	95
490.693768	28	95	34	91
492.894419	66	9	73	9
492.99445	34	91	27	91
493.589767	73	9	80	7
495.348465	80	7	84	37
496.024597	84	37	82	57
496.63035	16	63	18	43
497.665547	18	43	57	68
499.734318	43	32	44	32
504.403972	56	68	89	63
507.559438	89	63	0	0
509.177432	9	30	15	0
525.855435	91	100	79	86
526.357356	79	86	71	79
527.500382	71	79	68	85
527.81521	29	21	32	15
527.9039	32	15	29	22
529.236781	71	78	75	93
529.651303	75	93	81	94
531.96234	81	94	79	93
532.01795	19	6	21	7
534.142143	21	7	19	6
565.514149	80	95	83	51
568.551832	17	49	28	32
568.72827	72	68	52	24
571.589185	52	24	43	42
575.16376	43	42	46	66
578.806977	46	66	79	14
580.702626	21	86	26	100
581.07852	79	14	74	0
586.764225	74	0	79	3
589.606157	79	3	79	11
590.186993	21	89	40	82
598.946931	60	18	56	14
600.13529	56	14	66	1
602.700935	66	1	52	36
606.442922	52	36	56	61
608.782481	56	61	76	93
611.567972	76	93	70	81
614.1992	70	81	97	17
618.09998	97	17	86	30
619.441519	86	30	0	0
622.195243	100	100	14	70
644.994462	31	8	42	35
645.631866	69	92	58	65
646.094856	58	65	66	71
648.051796	66	71	65	76
649.105828	34	29	35	24
651.577573	65	76	77	84
653.282758	77	84	94	84
654.891327	94	84	97	85
657.124771	6	16	3	15
657.589238	97	85	100	100
659.223072	4	21	3	18
661.12322	3	18	8	14
661.968594	92	86	90	85
663.627916	90	85	73	88
665.165795	73	88	65	74
666.69208	65	74	67	92
669.084618	67	92	81	80
670.352892	81	80	83	92
670.364287	19	20	17	8
671.616635	17	8	19	17
672.653702	81	83	100	77
697.02222	0	0	94	44
702.689482	6	56	59	59
705.264634	41	41	39	41
705.603112	59	59	61	59
708.315804	39	41	41	41
741.583229	57	64	61	61
744.610369	61	61	92	30
746.822807	92	30	95	27
747.034801	8	70	5	73
747.940327	95	27	85	21
747.977769	15	79	19	91
748.527255	85	21	81	9
750.443434	81	9	81	9
751.643615	19	91	19	91
752.278365	81	9	87	8
752.924663	13	92	10	93
754.959661	10	93	7	87
755.258509	7	87	11	93
755.351597	89	7	78	16
756.309398	11	93	22	84
756.778223	78	16	83	30
758.692407	17	70	11	65
758.748781	83	30	89	35
759.643754	11	65	16	71
760.111151	16	71	18	73
760.78484	82	27	81	29
761.934834	18	73	19	71
763.195655	81	29	75	35
764.476102	75	35	100	100
782.73079	0	0	46	49
785.606718	54	51	55	52
788.003819	46	49	45	48
790.912689	45	48	46	49
793.783733	48	63	84	76
796.019692	16	24	28	15
797.534308	72	85	69	72
798.028364	28	15	31	28
800.631255	69	72	68	75
800.917731	31	28	32	25
803.993605	68	75	67	93
806.663013	67	93	55	81
809.83796	55	81	93	31
812.419531	7	69	16	61
813.800522	84	39	85	10
814.05046	16	61	15	90
818.744171	15	90	74	70
820.556751	26	30	36	20
822.808909	36	20	51	13
824.621822	49	87	47	79
825.766463	47	79	81	85
837.879573	81	85	70	81
840.321763	70	81	74	89
843.635775	74	89	91	91
845.371981	9	9	17	5
845.529957	91	91	83	95
847.901958	17	5	24	17
850.568294	24	17	19	21
852.581789	19	21	17	0
852.642343	81	79	83	100
900				
913.641663	83	100	79	91
914.180474	21	9	20	12
915.375191	80	88	48	82
918.515048	48	82	36	35
922.742494	36	35	35	55
925.538962	35	55	55	87
927.388314	55	87	69	94
930.724138	26	29	31	6
930.993169	69	94	74	71
931.76811	74	71	75	67
932.367461	75	67	82	64
932.725476	18	36	24	31
934.164116	24	31	39	75
936.97717	39	75	43	86
937.76929	57	14	84	12
943.136117	16	88	23	88
947.109084	77	12	74	2
947.137223	23	88	26	98
949.520325	74	2	73	5
951.292096	73	5	72	12
953.107303	72	12	75	24
953.781885	75	24	62	24
955.217222	62	24	62	28
957.718857	62	28	86	69
960.381682	14	31	24	11
962.923698	76	89	72	71
967.082794	72	71	81	76
968.508011	81	76	78	94
970.758315	12	45	22	6
971.510516	78	94	88	55
971.764718	88	55	90	52
973.996866	90	52	0	0
1003.28157	100	100	63	73
1007.02239	63	73	73	85
1007.200748	37	27	27	15
1009.276817	27	15	39	19
1010.356484	61	81	75	86
1012.909898	75	86	91	89
1012.909898	25	14	9	11
1014.973345	91	89	83	94
1014.973345	9	11	17	6
1017.76759	17	6	32	9
1019.029441	68	91	76	79
1020.36477	24	21	40	38
1021.41301	40	38	93	27
1031.261362	93	27	89	25
